indicatorID,indicator,unit,indicatorDesc,sourceOrg,sourceID,source
IC.ISV.OTCM,Outcome (0 as piecemeal sale and 1 as going concern),NA,Outcome measures whether the debtor’s business continues operating as a going concern or whether the debtor’s assets are sold piecemeal.  ,"World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/Resolving Insolvency)",1,Doing Business
IC.ISV.DURS,Time to resolve insolvency (years),NA,Time to resolve insolvency is the number of years from the filing for insolvency in court until the resolution of distressed assets.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.ISV.CPI,Creditor participation index (0-4),NA,"The creditors’ rights index has 4 components: (i) Whether creditors participate in the selection of an insolvency representative. A score of 1 is assigned if yes; 0 if no. (ii) Whether creditors are required to approve the sale of substantial assets of the debtor in the course of insolvency proceedings. A score of 1 is assigned if yes; 0 if no. (iii) Whether an individual creditor has the right to access information about insolvency proceedings, either by requesting it from an insolvency representative or by reviewing the official records. A score of 1 is assigned if yes; 0 if no. (iv) Whether an individual creditor can object to a decision of the court or of the insolvency representative to approve or reject claims against the debtor brought by the creditor itself or by other creditors. A score of 1 is assigned if yes; 0 if no. (v) The index ranges from 0 to 4, with higher values indicating greater participation and rights of creditors. ","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/Resolving Insolvency)",1,Doing Business
IC.ISV.COST,Resolving insolvency: cost (% of estate),NA,"The cost of the proceedings, recorded as a percentage of the estate’s value, is calculated on the basis of survey responses by insolvency practitioners. It includes court fees as well as fees of insolvency practitioners, independent assessors, lawyers, and accountants. Respondents provide cost estimates from among the following options: less than 2%, 2–5%, 5–8%, 8–11%, 11–18%, 18–25%, 25–33%, 33–50%, 50–75%, and more than 75% of the value of the business estate.  
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/ClosingBusiness).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/ClosingBusiness/).",1,Doing Business
IC.IMP.TMDC,"Time to import, documentary compliance (hours)",NA,"Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.IMP.TMBC,"Time to import, border compliance (hours)",NA,"Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.IMP.DURS,Time to import (days),NA,"Time to import is the time necessary to comply with all procedures required to import goods. Time is recorded in calendar days. The time calculation for a procedure starts from the moment it is initiated and runs until it is completed. If a procedure can be accelerated for an additional cost, the fastest legal procedure is chosen. It is assumed that neither the exporter nor the importer wastes time and that each commits to completing each remaining procedure without delay. Procedures that can be completed in parallel are measured as simultaneous. The waiting time between procedures--for example, during unloading of the cargo--is included in the measure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.IMP.DOCS,Documents to import (number),NA,"All documents required per shipment to import goods are recorded. It is assumed that the contract has already been agreed upon and signed by both parties. Documents required for clearance by government ministries, customs authorities, port and container terminal authorities, health and technical control agencies and banks are taken into account. Since payment is by letter of credit, all documents required by banks for the issuance or securing of a letter of credit are also taken into account. Documents that are renewed annually and that do not require renewal per shipment (for example, an annual tax clearance certificate) are not included.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)",NA,"Documentary compliance captures the time and cost associated with compliance with the documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. The aim is to measure the total burden of preparing the bundle of documents that will enable completion of the international trade for the product and partner pair assumed in the case study.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)",NA,"Border compliance captures the time and cost associated with compliance with the economy’s customs regulations and with regulations relating to other inspections that are mandatory in order for the shipment to cross the economy’s border, as well as the time and cost for handling that takes place at its port or border. The time and cost for this segment include time and cost for customs clearance and inspection procedures conducted by other government agencies.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.IMP.COST.CD,Cost to import (US$ per container),NA,"Cost measures the fees levied on a 20-foot container in U.S. dollars. All the fees associated with completing the procedures to export or import the goods are included. These include costs for documents, administrative fees for customs clearance and technical control, customs broker fees, terminal handling charges and inland transport. The cost measure does not include tariffs or trade taxes. Only official costs are recorded.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.GE.RSTTI,Reliability of supply and transparency of tariff index (0-8),NA,Reliability of supply and transparency of tariff index (0-8),"World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/GettingElectricity)",1,Doing Business
IC.GE.NUM,Procedures required to connect to electricity (number),NA,"This indicator records the number of procedures required for a business to obtain a permanent electricity connection and supply for a warehouse. To ensure that data are comparable across economies, a standard case study in which an entrepreneur seeks to connect a newly built warehouse for cold meat storage to electricity was used. Data are collected from the electricity distribution utility, then completed and verified by independent professionals such as electricians, electrical engineers, electrical contractors, and construction companies.
","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/GettingElectricity)",1,Doing Business
IC.GE.COST,Cost to get electricity(% of income per capita),NA,Cost to obtain an electricity connection (% of income per capita) ,"World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/GettingElectricity)",1,Doing Business
IC.FRM.XQ,Dealing with construction permits (rank),NA,"This index ranks economies from 1 to 181, with first place being the best.  This looks into (a) procedures (b) time and (c) cost  required for a business in the construction industry to build a standardized warehouse and gives weight to each topic.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.WRH.PROC,Procedures to build a warehouse (number),NA,"Number of procedures to build a warehouse is the number of interactions of a company's employees or managers with external parties, including government agency staff, public inspectors, notaries, land registry and cadastre staff, and technical experts apart from architects and engineers.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.WRH.DURS,Time required to build a warehouse (days),NA,"Time required to build a warehouse is the number of calendar days needed to complete the required procedures for building a warehouse. If a procedure can be speeded up at additional cost, the fastest procedure, independent of cost, is chosen.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.TRD.XQ,Trading across borders (rank),NA,"This index ranks economies from 1 to 181, with first place being the best.  This gives an equal weigh to each of the topics in order for ranking (a) number of all documents required to export/import goods, (b) time and (c) cost.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.TAX.XQ,Paying taxes (rank),NA,"This index ranks economies from 1 to 181, with first place being the best.  This  assesses (a) number of payments (b) time spent to prepare taxes (c) labour taxes (d) other taxes and (e) taxes on profits and gives each topic equal weight.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.TAX.TOTL.CP.ZS,Total tax rate (% of commercial profits),NA,"Total tax rate measures the amount of taxes and mandatory contributions payable by businesses after accounting for allowable deductions and exemptions as a share of commercial profits. Taxes withheld (such as personal income tax) or collected and remitted to tax authorities (such as value added taxes, sales taxes or goods and service taxes) are excluded.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits),NA,Profit tax is the amount of taxes on profits paid by the business.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.TAX.PFT.ZS,"Paying taxes, profit tax (%)",NA,"""Total amount of taxes and mandatory contributions payable by the business.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ""","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.TAX.PFI,Postfiling index (0-100),NA,Postfiling index (0-100),"World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/PayingTaxes/).",1,Doing Business
IC.TAX.PAYM,Tax payments (number),NA,"Tax payments by businesses are the total number of taxes paid by businesses, including electronic filing. The tax is counted as paid once a year even if payments are more frequent.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits),NA,"Other taxes payable by businesses include the amounts paid for property taxes, turnover taxes, and other small taxes such as municipal fees and vehicle and fuel taxes.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.TAX.OTH.ZS,"Paying taxes, other taxes (%)",NA,"Amount of taxes and mandatory contributions paid by the business that are not already included in the tax profits and labour taxes.  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.TAX.LBR.ZS,"Paying taxes, labor tax and contributions (%)",NA,"The total tax rate measures the amount of taxes and mandatory contributions payable by the business in the second year of operation, expressed as a share of commercial profits. Doing Business 2008 reports the total tax rate for fiscal 2006. The total amount of taxes is the sum of all the different taxes and contributions payable after accounting for deductions and exemptions. The taxes withheld (such as sales or value added tax or personal income tax) but not paid by the company are excluded. The taxes included can be divided into 5 categories: profit or corporate income tax, social contribu­tions and labor taxes paid by the employer (for which all mandatory contributions are included, even if paid to a private entity such as a requited pension fund), property taxes, turnover taxes and other small taxes (such as municipal fees and vehicle and fuel taxes).  For more information, visit http://www.doingbusiness.org/MethodologySurveys/.  ","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits),NA,Labor tax and contributions is the amount of taxes and mandatory contributions on labor paid by the business.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.TAX.DURS,Time to prepare and pay taxes (hours),NA,"Time to prepare and pay taxes is the time, in hours per year, it takes to prepare, file, and pay (or withhold) three major types of taxes: the corporate income tax, the value added or sales tax, and labor taxes, including payroll taxes and social security contributions.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.RP.QLAI,Quality of the land administration index (0-30),NA,Quality of the land administration index (0-30),"World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/RegisteringProperty/).",1,Doing Business
IC.RP.COST,Cost to register property (% of property value),NA,"This indicator calculates the cost required for a business to register property expressed as a percentage of the property value, assuming a property value of 50 times income per capita. The cost includes fees, transfer taxes, stamp duties, and any other payment to the property registry, notaries, public agencies or lawyers. Information is provided by local property lawyers, notaries, and property registries. 
Source: World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/RegisteringProperty).","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/RegisteringProperty/).",1,Doing Business
IC.REG.XQ,Starting a business (rank),NA,"This index averages the country's percentile rankings on: procedures, time, cost (% of income per capita) and minimum capital (% of income per capita)","World Bank, Doing Business project (http://www.doingbusiness.org/).",11,Africa Development Indicators
IC.REG.PROC.WOMEN,Procedures required to start a business - Women (number),NA,"The number of procedures required to legally operate a commercial or industrial firm are recorded, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications for starting operations.","World Bank, Doing Business Project (http://www.doingbusiness.org/ExploreTopics/StartingBusiness/).",1,Doing Business
IC.REG.PROC.MA,"Start-up procedures to register a business, male (number)",NA,"Start-up procedures are those required to start a business, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications to start operations. Data are for businesses with specific characteristics of ownership, size, and type of production.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
IC.REG.PROC.FE,"Start-up procedures to register a business, female (number)",NA,"Start-up procedures are those required to start a business, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications to start operations. Data are for businesses with specific characteristics of ownership, size, and type of production.","World Bank, Doing Business project (http://www.doingbusiness.org/).",2,World Development Indicators
